tf,idf,entropy
4.11,112.0,3.4365371610078554
4.37,58.0,1.9311346668133875
4.56,4.0,0.31190818057181746
3.6,1.0,0.0700076381128693
3.81,45.0,1.5982565807841465
4.09,79.0,2.6069987803514545
3.58,69.0,3.311613876370798
4.98,18.0,1.5183880161051335
4.81,1.0,-0.0
3.5,28.0,1.3530629349331607
4.09,12.0,0.8327338940014524
4.42,75.0,2.523942693338703
2.51,37.0,1.450636262349715
3.69,24.0,1.368302054590104
4.4,53.0,1.520914972850698
5.15,31.0,1.0275523526463295
3.75,3.0,0.3513767524461585
4.55,27.0,0.7038966759395268
2.63,7.0,0.5077729697633425
3.57,22.0,1.4026486446355708
3.81,22.0,0.6414911359904143
3.77,12.0,0.07188128019169909
4.0,29.0,1.601914641576312
4.84,65.0,1.901096162554595
5.05,12.0,0.8450619845148323
3.45,36.0,1.5659710712780963
3.6,12.0,0.8809933697723727
2.0,12.0,0.9481869288988392
4.13,8.0,0.18263138390609718
3.16,5.0,0.14050192969810527
2.02,3.0,0.12420894546071817
2.7,4.0,0.3121699339533553
3.54,2.0,-0.0
1.42,2.0,0.0700076381128693
